DEBUG: General     , 1684707806327> 593,808> LoggerManager.init                  > Initializing...
LOG  : Lua         , 1684707833778> 621,252> Loading: media/lua/server/BuildingObjects/ISCompost.lua
LOG  : Lua         , 1684707833780> 621,253> Loading: media/lua/server/BuildingObjects/ISDestroyCursor.lua
LOG  : Lua         , 1684707833782> 621,255> Loading: media/lua/server/BuildingObjects/ISDoubleDoor.lua
LOG  : Lua         , 1684707833783> 621,257> Loading: media/lua/server/BuildingObjects/ISDoubleTileFurniture.lua
LOG  : Lua         , 1684707833785> 621,258> Loading: media/lua/server/BuildingObjects/ISEmptyGraves.lua
LOG  : Lua         , 1684707833787> 621,261> Loading: media/lua/server/BuildingObjects/ISLightSource.lua
LOG  : Lua         , 1684707833789> 621,262> Loading: media/lua/server/BuildingObjects/ISMoveableCursor.lua
LOG  : Lua         , 1684707833793> 621,266> Loading: media/lua/server/BuildingObjects/ISNaturalFloor.lua
LOG  : Lua         , 1684707833794> 621,268> Loading: media/lua/server/BuildingObjects/ISPaintCursor.lua
LOG  : Lua         , 1684707833796> 621,270> Loading: media/lua/server/BuildingObjects/ISPlace3DItemCursor.lua
LOG  : Lua         , 1684707833798> 621,272> Loading: media/lua/server/BuildingObjects/ISRemovePlantCursor.lua
LOG  : Lua         , 1684707833800> 621,273> Loading: media/lua/server/BuildingObjects/ISSelectCursor.lua
LOG  : Lua         , 1684707833801> 621,275> Loading: media/lua/server/BuildingObjects/ISShovelGroundCursor.lua
LOG  : Lua         , 1684707833803> 621,277> Loading: media/lua/server/BuildingObjects/ISSimpleFurniture.lua
LOG  : Lua         , 1684707833804> 621,278> Loading: media/lua/server/BuildingObjects/ISWalkToCursor.lua
LOG  : Lua         , 1684707833806> 621,279> Loading: media/lua/server/BuildingObjects/ISWoodenContainer.lua
LOG  : Lua         , 1684707833807> 621,281> Loading: media/lua/server/BuildingObjects/ISWoodenDoor.lua
LOG  : Lua         , 1684707833808> 621,282> Loading: media/lua/server/BuildingObjects/ISWoodenDoorFrame.lua
LOG  : Lua         , 1684707833810> 621,283> Loading: media/lua/server/BuildingObjects/ISWoodenFloor.lua
LOG  : Lua         , 1684707833811> 621,284> Loading: media/lua/server/BuildingObjects/ISWoodenStairs.lua
LOG  : Lua         , 1684707833813> 621,286> Loading: media/lua/server/BuildingObjects/ISWoodenWall.lua
LOG  : Lua         , 1684707833814> 621,288> Loading: media/lua/server/BuildingObjects/PaintingReference.lua
LOG  : Lua         , 1684707833816> 621,289> Loading: media/lua/server/Camping/BuildingObjects/campingCampfire.lua
LOG  : Lua         , 1684707833818> 621,291> Loading: media/lua/server/Camping/BuildingObjects/campingTent.lua
LOG  : Lua         , 1684707833819> 621,293> Loading: media/lua/server/Camping/camping_fuel.lua
LOG  : Lua         , 1684707833820> 621,294> Loading: media/lua/server/Camping/camping_tent.lua
LOG  : Lua         , 1684707833822> 621,296> Loading: media/lua/server/Camping/camping_text.lua
LOG  : Lua         , 1684707833824> 621,297> Loading: media/lua/server/Camping/SCampfireGlobalObject.lua
LOG  : Lua         , 1684707833825> 621,299> Loading: media/lua/server/Map/SGlobalObject.lua
LOG  : Lua         , 1684707833827> 621,300> Loading: media/lua/server/Camping/SCampfireSystem.lua
LOG  : Lua         , 1684707833828> 621,302> Loading: media/lua/server/Map/SGlobalObjectSystem.lua
LOG  : Lua         , 1684707833836> 621,310> Loading: media/lua/server/Camping/SCampfireSystemCommands.lua
LOG  : Lua         , 1684707833838> 621,311> Loading: media/lua/server/ClientCommands.lua
LOG  : Lua         , 1684707833840> 621,314> Loading: media/lua/server/Climate/ClimateMain.lua
LOG  : Lua         , 1684707833842> 621,315> Loading: media/lua/server/Farming/BuildingObjects/farmingPlot.lua
LOG  : Lua         , 1684707833843> 621,316> Loading: media/lua/server/Farming/BuildingObjects/ISFarmingCursor.lua
LOG  : Lua         , 1684707833844> 621,318> Loading: media/lua/server/Farming/BuildingObjects/ISFarmingCursorMouse.lua
LOG  : Lua         , 1684707833845> 621,319> Loading: media/lua/server/Farming/farming_vegetableconf.lua
LOG  : Lua         , 1684707833848> 621,322> Loading: media/lua/server/Farming/farmingCommands.lua
LOG  : Lua         , 1684707833850> 621,323> Loading: media/lua/server/Farming/SFarmingSystem.lua
LOG  : Lua         , 1684707833852> 621,325> Loading: media/lua/server/Farming/ScavengeDefinition.lua
LOG  : Lua         , 1684707833854> 621,327> Loading: media/lua/server/Farming/SPlantGlobalObject.lua
LOG  : Lua         , 1684707833856> 621,330> Loading: media/lua/server/FireFighting/FireFighting.lua
LOG  : Lua         , 1684707833858> 621,331> Loading: media/lua/server/FireFighting/ISExtinguishCursor.lua
LOG  : Lua         , 1684707833859> 621,333> Loading: media/lua/server/Fishing/BuildingObjects/FishingNet.lua
LOG  : Lua         , 1684707833861> 621,335> Loading: media/lua/server/Foraging/forageServer.lua
LOG  : Lua         , 1684707833862> 621,335> Loading: media/lua/server/HealthSystem/HealthUpdate.lua
LOG  : Lua         , 1684707833864> 621,337> Loading: media/lua/server/ISBuildingBlueprintManager.lua
LOG  : Lua         , 1684707833865> 621,338> Loading: media/lua/server/ISCoordConversion.lua
LOG  : Lua         , 1684707833866> 621,340> Loading: media/lua/server/ISObjectClickHandler.lua
LOG  : Lua         , 1684707833868> 621,342> Loading: media/lua/server/Items/AcceptItemFunction.lua
LOG  : Lua         , 1684707833870> 621,343> Loading: media/lua/server/Items/ApplianceOverlays.lua
LOG  : Lua         , 1684707833872> 621,345> Loading: media/lua/server/Items/BentFences.lua
LOG  : Lua         , 1684707833874> 621,347> Loading: media/lua/server/Items/BrokenFences.lua
LOG  : Lua         , 1684707833879> 621,353> Loading: media/lua/server/Items/CounterOverlays.lua
LOG  : Lua         , 1684707833882> 621,355> Loading: media/lua/server/Items/Distributions.lua
LOG  : Lua         , 1684707833917> 621,391> Loading: media/lua/server/Items/FixturesOverlays.lua
LOG  : Lua         , 1684707833919> 621,393> Loading: media/lua/server/Items/FloorStreetOverlays.lua
LOG  : Lua         , 1684707833921> 621,395> Loading: media/lua/server/Items/FloorTileOverlays.lua
LOG  : Lua         , 1684707833924> 621,397> Loading: media/lua/server/Items/FloorWoodOverlays.lua
LOG  : Lua         , 1684707833926> 621,399> Loading: media/lua/server/Items/FurnitureOfficeOverlays.lua
LOG  : Lua         , 1684707833927> 621,401> Loading: media/lua/server/Items/ItemBindingHandler.lua
LOG  : Lua         , 1684707833929> 621,403> Loading: media/lua/server/Items/ItemPicker.lua
LOG  : Lua         , 1684707833931> 621,404> Loading: media/lua/server/Items/ProceduralDistributions.lua
LOG  : Lua         , 1684707833964> 621,437> Loading: media/lua/server/Items/ScriptItemInterface.lua
LOG  : Lua         , 1684707833966> 621,439> Loading: media/lua/server/Items/SeatingOverlays.lua
LOG  : Lua         , 1684707833968> 621,442> Loading: media/lua/server/Items/StorageOverlays.lua
LOG  : Lua         , 1684707833970> 621,443> Loading: media/lua/server/Items/SuburbsDistributions.lua
LOG  : Lua         , 1684707833971> 621,445> Loading: media/lua/server/Items/TileOverlays.lua
LOG  : Lua         , 1684707833975> 621,449> Loading: media/lua/server/Items/TileOverlaysSmooth.lua
LOG  : Lua         , 1684707833977> 621,450> Loading: media/lua/server/Items/WallsBrickOverlays.lua
LOG  : Lua         , 1684707833980> 621,453> Loading: media/lua/server/Items/WorldFiller.lua
LOG  : Lua         , 1684707833985> 621,458> Loading: media/lua/server/Map/MapObjects/MOBarricade.lua
LOG  : Lua         , 1684707833988> 621,461> Loading: media/lua/server/Map/MapObjects/MOCampfire.lua
LOG  : Lua         , 1684707833989> 621,463> Loading: media/lua/server/Map/MapObjects/MOCompost.lua
LOG  : Lua         , 1684707833990> 621,464> Loading: media/lua/server/Map/MapObjects/MOFarming.lua
LOG  : Lua         , 1684707833993> 621,466> Loading: media/lua/server/Map/MapObjects/MOGenerator.lua
LOG  : Lua         , 1684707833994> 621,467> Loading: media/lua/server/Map/MapObjects/MOLampOnPillar.lua
LOG  : Lua         , 1684707833995> 621,469> Loading: media/lua/server/Map/MapObjects/MOMetalDrum.lua
LOG  : Lua         , 1684707833997> 621,470> Loading: media/lua/server/Map/MapObjects/MORainCollectorBarrel.lua
LOG  : Lua         , 1684707833998> 621,471> Loading: media/lua/server/RainBarrel/BuildingObjects/RainCollectorBarrel.lua
LOG  : Lua         , 1684707834000> 621,473> Loading: media/lua/server/Map/MapObjects/MORandomPottedPlant.lua
LOG  : Lua         , 1684707834001> 621,475> Loading: media/lua/server/Map/MapObjects/MOTent.lua
LOG  : Lua         , 1684707834003> 621,476> Loading: media/lua/server/Map/MapObjects/MOTrap.lua
LOG  : Lua         , 1684707834004> 621,478> Loading: media/lua/server/Traps/TrapDefinition.lua
LOG  : Lua         , 1684707834006> 621,479> Loading: media/lua/server/Traps/STrapSystem.lua
LOG  : Lua         , 1684707834008> 621,481> Loading: media/lua/server/Map/MapObjects/MOWoodenWallFrame.lua
LOG  : Lua         , 1684707834009> 621,483> Loading: media/lua/server/Map/MetaEnum.lua
LOG  : Lua         , 1684707834011> 621,484> Loading: media/lua/server/MetalDrum/BuildingObjects/ISMetalDrum.lua
LOG  : Lua         , 1684707834012> 621,485> Loading: media/lua/server/MetalDrum/SMetalDrumGlobalObject.lua
LOG  : Lua         , 1684707834014> 621,487> Loading: media/lua/server/MetalDrum/SMetalDrumSystem.lua
LOG  : Lua         , 1684707834015> 621,489> Loading: media/lua/server/metazones/metazoneHandler.lua
LOG  : Lua         , 1684707834017> 621,491> Loading: media/lua/server/Movers/ISBaseMover.lua
LOG  : Lua         , 1684707834019> 621,492> Loading: media/lua/server/Movers/MoverStateMachine.lua
LOG  : Lua         , 1684707834020> 621,494> Loading: media/lua/server/Movers/MoverStates/ISBaseState.lua
LOG  : Lua         , 1684707834021> 621,495> Loading: media/lua/server/Movers/MoverStates/MoveToState.lua
LOG  : Lua         , 1684707834022> 621,496> Loading: media/lua/server/Movers/Rabbit.lua
LOG  : Lua         , 1684707834024> 621,497> Loading: media/lua/server/NewSelectionSystem/GridSquareSelector.lua
LOG  : Lua         , 1684707834025> 621,498> Loading: media/lua/server/NPCs/SadisticAIDirector/SadisticMusicDirector.lua
LOG  : Lua         , 1684707834026> 621,499> Loading: media/lua/server/Professions/Professions.lua
LOG  : Lua         , 1684707834027> 621,501> Loading: media/lua/server/radio/ISDynamicRadio.lua
LOG  : Lua         , 1684707834029> 621,502> Loading: media/lua/server/radio/ISWeatherChannel.lua
LOG  : Lua         , 1684707834031> 621,504> Loading: media/lua/server/RainBarrel/SRainBarrelGlobalObject.lua
LOG  : Lua         , 1684707834032> 621,505> Loading: media/lua/server/RainBarrel/SRainBarrelSystem.lua
LOG  : Lua         , 1684707834034> 621,507> Loading: media/lua/server/recipecode.lua
LOG  : Lua         , 1684707834039> 621,512> Loading: media/lua/server/Seasons/season.lua
LOG  : Lua         , 1684707834040> 621,514> Loading: media/lua/server/Seasons/seasonProps.lua
LOG  : Lua         , 1684707834042> 621,515> Loading: media/lua/server/TemplateReplacers.lua
LOG  : Lua         , 1684707834043> 621,517> Loading: media/lua/server/Traps/BuildingObjects/TrapBO.lua
LOG  : Lua         , 1684707834045> 621,518> Loading: media/lua/server/Traps/ISUI/ISTrapMenu.lua
LOG  : Lua         , 1684707834047> 621,520> Loading: media/lua/server/Traps/STrapGlobalObject.lua
LOG  : Lua         , 1684707834049> 621,523> Loading: media/lua/server/Traps/trappingCommands.lua
LOG  : Lua         , 1684707834052> 621,525> Loading: media/lua/server/Traps/TrapRecipeCode.lua
LOG  : Lua         , 1684707834053> 621,526> Loading: media/lua/server/TurnBased/TurnBasedMain.lua
LOG  : Lua         , 1684707834054> 621,527> Loading: media/lua/server/TutorialHelperFunctions.lua
LOG  : Lua         , 1684707834055> 621,528> Loading: media/lua/server/Vehicles/VehicleCommands.lua
LOG  : Lua         , 1684707834057> 621,531> Loading: media/lua/server/Vehicles/VehicleDistributions.lua
LOG  : Lua         , 1684707834064> 621,537> Loading: media/lua/server/Vehicles/Vehicles.lua
LOG  : Lua         , 1684707834069> 621,542> Loading: media/lua/server/XpSystem/XPSystem_SkillBook.lua
LOG  : Lua         , 1684707834070> 621,544> Loading: media/lua/server/XpSystem/XpSystem_text.lua
LOG  : Lua         , 1684707834072> 621,545> Loading: media/lua/server/XpSystem/XpUpdate.lua
LOG  : General     , 1684707834074> 621,547> luaChecksum: baba5d5cd0137868287f2628ad5cb14b
LOG  : Lua         , 1684707834327> 621,801> Loading: /home/linuxgsm/Zomboid/Server/dogros_SandboxVars.lua
LOG  : General     , 1684707834335> 621,808> writing /home/linuxgsm/Zomboid/Server/dogros_SandboxVars.lua
LOG  : Lua         , 1684707834397> 621,870> Loading: /home/linuxgsm/Zomboid/Server/dogros_spawnregions.lua
LOG  : Lua         , 1684707834402> 621,875> Loading: media/maps/Muldraugh, KY/spawnpoints.lua
LOG  : Lua         , 1684707834404> 621,877> Loading: media/maps/Riverside, KY/spawnpoints.lua
LOG  : Lua         , 1684707834405> 621,879> Loading: media/maps/Rosewood, KY/spawnpoints.lua
LOG  : Lua         , 1684707834407> 621,880> Loading: media/maps/West Point, KY/spawnpoints.lua
LOG  : Network     , 1684707834426> 621,900> Loading world...
LOG  : General     , 1684707834444> 621,917> IsoMetaGrid.Create: begin scanning directories
LOG  : General     , 1684707834446> 621,920> Looking in these map folders:
LOG  : General     , 1684707834447> 621,921>     /home/linuxgsm/serverfiles/media/maps/Muldraugh, KY
LOG  : General     , 1684707834448> 621,922> <End of map-folders list>
LOG  : General     , 1684707834473> 621,946> IsoMetaGrid.Create: finished scanning directories in 0.028 seconds
LOG  : General     , 1684707834474> 621,948> IsoMetaGrid.Create: begin loading
LOG  : General     , 1684707834488> 621,962> ERROR: SuburbsDistributions["laboratory"] is broken
LOG  : General     , 1684707834490> 621,964> ERROR: SuburbsDistributions["laboratory"] is broken
LOG  : General     , 1684707834493> 621,966> ERROR: SuburbsDistributions["laboratory"] is broken
LOG  : General     , 1684707834794> 622,268> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions.tiles
LOG  : General     , 1684707834809> 622,282> tiledef: loading /home/linuxgsm/serverfiles/media/newtiledefinitions.tiles
LOG  : General     , 1684707834917> 622,391> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions_erosion.tiles
LOG  : General     , 1684707834921> 622,395> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions_apcom.tiles
LOG  : General     , 1684707834927> 622,400> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions_overlays.tiles
LOG  : General     , 1684707834932> 622,405> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions_noiseworks.patch.tiles
LOG  : General     , 1684707834937> 622,411> tiledef: loading /home/linuxgsm/serverfiles/media/tiledefinitions.tiles
LOG  : General     , 1684707835032> 622,506> tiledef: loading /home/linuxgsm/serverfiles/media/newtiledefinitions.tiles
LOG  : General     , 1684707835109> 622,582> MOVABLES: Difference in SpriteGrid settings for members of group: (Office Desk) sheet = location_business_office_generic_01
LOG  : General     , 1684707835111> 622,584> MOVABLES: Object has too many faces defined for group: (Office Whiteboard) sheet = location_business_office_generic_01
LOG  : General     , 1684707835122> 622,595> MOVABLES: E face defined more than once for group: (Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835123> 622,597> MOVABLES: S face defined more than once for group: (Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835125> 622,599> MOVABLES: E face defined more than once for group: (Left Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835127> 622,600> MOVABLES: S face defined more than once for group: (Left Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835129> 622,602> MOVABLES: E face defined more than once for group: (Right Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835130> 622,604> MOVABLES: S face defined more than once for group: (Right Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835132> 622,605> MOVABLES: E face defined more than once for group: (Bar Tap Antique) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835134> 622,607> MOVABLES: Object has too many faces defined for group: (Bar Counter) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835135> 622,609> MOVABLES: Object has too many faces defined for group: (Bar Corner Counter) sheet = location_restaurant_bar_01
LOG  : General     , 1684707835168> 622,642> MOVABLES: Object has only one face defined for group: (Streetname Sign) sheet = street_decoration_01
